mr/stts/00/senticonll0000	0	0	Presents	UNK	B-NEUT	1	2	2	2	5	7	2	0	4	0
mr/stts/00/senticonll0000	0	1	a	UNK	I-NEUT	1	2	2	1	3	5	1	0	1	2
mr/stts/00/senticonll0000	0	2	good	UNK	I-NEUT	_	_	_	_	4	7	_	_	_	0
mr/stts/00/senticonll0000	0	3	case	UNK	I-NEUT	2	1	2	2	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	4	while	UNK	I-NEUT	1	1	2	1	4	7	1	1	2	0
mr/stts/00/senticonll0000	0	5	failing	UNK	B-NOTNEUT	_	_	_	_	4	7	_	_	_	0
mr/stts/00/senticonll0000	0	6	to	UNK	B-NEUT	0	1	1	1	3	4	0	0	0	2
mr/stts/00/senticonll0000	0	7	provide	UNK	I-NEUT	2	2	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	8	a	UNK	I-NEUT	1	2	2	1	3	2	0	0	0	2
mr/stts/00/senticonll0000	0	9	reason	UNK	I-NEUT	1	1	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	10	for	UNK	I-NEUT	_	_	_	_	3	2	_	_	_	1
mr/stts/00/senticonll0000	0	11	us	UNK	I-NEUT	_	_	_	_	5	0	_	_	_	0
mr/stts/00/senticonll0000	0	12	to	UNK	I-NEUT	1	1	1	2	4	4	0	0	0	2
mr/stts/00/senticonll0000	0	13	care	UNK	B-NOTNEUT	1	0	2	2	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	14	beyond	UNK	B-NEUT	1	0	1	1	3	7	0	0	0	0
mr/stts/00/senticonll0000	0	15	the	UNK	B-NOTNEUT	_	_	_	_	3	2	_	_	_	7
mr/stts/00/senticonll0000	0	16	very	UNK	I-NOTNEUT	0	1	1	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	17	basic	UNK	I-NOTNEUT	1	2	1	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	18	dictums	UNK	I-NOTNEUT	2	2	2	1	4	7	0	1	0	0
mr/stts/00/senticonll0000	0	19	of	UNK	B-NEUT	1	1	1	2	4	3	0	0	0	3
mr/stts/00/senticonll0000	0	20	human	UNK	I-NEUT	1	1	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	0	21	decency.	UNK	I-NEUT	0	0	3	2	4	6	0	1	0	0

mr/stts/00/senticonll0000	1	0	Beautifully	UNK	B-NOTNEUT	3	1	3	2	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	1	crafted,	UNK	B-NOTNEUT	1	1	2	1	4	7	0	1	0	0
mr/stts/00/senticonll0000	1	3	engaging	UNK	B-NOTNEUT	2	2	2	1	5	7	1	1	2	0
mr/stts/00/senticonll0000	1	4	filmmaking	UNK	B-NEUT	1	1	1	2	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	5	that	UNK	I-NEUT	1	1	2	1	3	4	0	0	0	0
mr/stts/00/senticonll0000	1	6	should	UNK	I-NEUT	1	1	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	7	attract	UNK	I-NEUT	1	3	3	1	4	6	0	1	0	0
mr/stts/00/senticonll0000	1	8	upscale	UNK	B-NOTNEUT	1	1	2	1	4	7	0	1	2	0
mr/stts/00/senticonll0000	1	9	audiences	UNK	B-NEUT	1	1	1	1	5	7	0	0	1	0
mr/stts/00/senticonll0000	1	10	hungry	UNK	I-NEUT	2	1	3	1	4	7	0	1	1	0
mr/stts/00/senticonll0000	1	11	for	UNK	I-NEUT	_	_	_	_	3	3	_	_	_	1
mr/stts/00/senticonll0000	1	12	quality	UNK	B-NOTNEUT	1	2	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	13	and	UNK	B-NEUT	_	_	_	_	3	3	_	_	_	3
mr/stts/00/senticonll0000	1	14	a	UNK	I-NEUT	1	1	2	0	3	3	0	0	0	2
mr/stts/00/senticonll0000	1	15	nostalgic,	UNK	B-NOTNEUT	1	2	2	2	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	17	twisty	UNK	I-NOTNEUT	1	1	2	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	1	18	yarn	UNK	I-NOTNEUT	0	2	1	2	4	3	0	1	0	0
mr/stts/00/senticonll0000	1	19	that	UNK	B-NEUT	_	_	_	_	3	7	_	_	_	0
mr/stts/00/senticonll0000	1	20	will	UNK	I-NEUT	1	1	1	1	4	5	0	0	0	0
mr/stts/00/senticonll0000	1	21	keep	UNK	I-NEUT	1	1	1	1	4	6	0	0	0	0
mr/stts/00/senticonll0000	1	22	them	UNK	I-NEUT	0	1	2	1	3	6	0	0	0	0
mr/stts/00/senticonll0000	1	23	guessing.	UNK	I-NEUT	1	1	2	2	4	7	0	1	1	0

mr/stts/00/senticonll0000	2	0	Bread,	UNK	B-NEUT	1	2	1	1	5	7	0	2	1	0
mr/stts/00/senticonll0000	2	2	My	UNK	I-NEUT	1	2	3	1	4	6	0	0	0	0
mr/stts/00/senticonll0000	2	3	Sweet	UNK	B-NOTNEUT	1	3	1	1	3	7	0	0	0	0
mr/stts/00/senticonll0000	2	4	has	UNK	B-NEUT	2	2	1	2	4	6	0	0	0	0
mr/stts/00/senticonll0000	2	5	so	UNK	I-NEUT	1	2	2	0	3	6	0	0	0	0
mr/stts/00/senticonll0000	2	6	many	UNK	I-NEUT	1	2	3	2	4	6	0	0	0	0
mr/stts/00/senticonll0000	2	7	flaws	UNK	B-NOTNEUT	1	2	2	1	3	6	0	0	0	0
mr/stts/00/senticonll0000	2	8	it	UNK	B-NEUT	_	_	_	_	3	2	_	_	_	1
mr/stts/00/senticonll0000	2	9	would	UNK	I-NEUT	1	3	1	1	4	7	0	0	0	0
mr/stts/00/senticonll0000	2	10	be	UNK	I-NEUT	_	_	_	_	4	4	_	_	_	0
